date,message
01/05/17,132
01/06/17,215
01/07/17,26
01/08/17,95
01/09/17,364
01/10/17,8
02/05/17,298
02/06/17,310
02/07/17,36
02/08/17,150
02/09/17,24
02/10/17,257
03/04/17,54
03/05/17,397
03/06/17,28
03/07/17,158
03/08/17,356
03/09/17,176
03/10/17,218
04/04/17,207
04/05/17,323
04/06/17,46
04/07/17,68
04/08/17,204
04/09/17,71
04/10/17,311
05/04/17,167
05/05/17,106
05/06/17,101
05/07/17,51
05/08/17,150
05/09/17,143
05/10/17,267
06/04/17,569
06/05/17,34
06/06/17,189
06/07/17,97
06/08/17,108
06/09/17,107
06/10/17,379
07/04/17,230
07/05/17,247
07/06/17,251
07/07/17,272
07/08/17,155
07/09/17,60
07/10/17,160
08/04/17,147
08/05/17,339
08/06/17,321
08/07/17,22
08/08/17,394
08/09/17,31
08/10/17,106
09/04/17,25
09/06/17,241
09/07/17,37
09/08/17,240
09/09/17,45
09/10/17,610
10/04/17,291
10/05/17,439
10/06/17,91
10/07/17,243
10/08/17,178
10/09/17,48
10/10/17,401
11/04/17,210
11/05/17,457
11/06/17,115
11/07/17,76
11/08/17,263
11/09/17,220
11/10/17,328
12/04/17,158
12/05/17,105
12/06/17,177
12/07/17,285
12/08/17,87
12/09/17,468
12/10/17,99
13/04/17,245
13/05/17,32
13/06/17,308
13/07/17,207
13/08/17,3
13/09/17,67
13/10/17,147
14/04/17,78
14/05/17,124
14/06/17,283
14/07/17,88
14/08/17,194
14/09/17,144
14/10/17,206
15/04/17,13
15/05/17,134
15/06/17,155
15/07/17,7
15/08/17,377
15/09/17,374
15/10/17,17
16/04/17,21
16/05/17,257
16/06/17,56
16/07/17,65
16/08/17,388
16/09/17,170
16/10/17,389
17/04/17,173
17/05/17,382
17/06/17,8
17/07/17,129
17/08/17,246
17/09/17,32
18/04/17,309
18/05/17,467
18/06/17,17
18/07/17,44
18/08/17,561
18/09/17,208
19/04/17,123
19/05/17,455
19/06/17,75
19/07/17,91
19/08/17,66
19/09/17,180
20/04/17,146
20/05/17,139
20/06/17,295
20/07/17,136
20/08/17,15
20/09/17,402
21/04/17,39
21/05/17,212
21/06/17,321
21/07/17,196
21/08/17,186
21/09/17,269
22/04/17,103
22/05/17,321
22/06/17,299
22/07/17,18
22/08/17,240
22/09/17,321
23/04/17,65
23/05/17,262
23/06/17,513
23/07/17,5
23/08/17,320
23/09/17,75
24/04/17,152
24/05/17,131
24/06/17,27
24/07/17,59
24/08/17,223
24/09/17,89
25/04/17,186
25/05/17,206
25/06/17,14
25/07/17,64
25/08/17,241
25/09/17,215
26/04/17,403
26/05/17,220
26/06/17,281
26/07/17,234
26/08/17,11
26/09/17,156
27/04/17,242
27/05/17,140
27/06/17,201
27/07/17,193
27/08/17,11
27/09/17,724
28/04/17,424
28/05/17,16
28/06/17,239
28/07/17,224
28/08/17,179
28/09/17,791
29/04/17,84
29/05/17,188
29/06/17,244
29/07/17,93
29/08/17,115
29/09/17,570
30/04/17,151
30/05/17,200
30/06/17,127
30/07/17,34
30/08/17,81
30/09/17,90
31/05/17,290
31/07/17,210
31/08/17,95
